County,ID,Future Congestion,Future Accessibility,Future Freight,Future Deliverability,Future Air Quality,Future Volume,Future Score,Current Congestion,Current Safety,Current Freight,Current Buffer Index,Current Equitable Target Areas,Current Air Quality,Current Accessibility,Current Score,BC 2015,BC 2040,Annual Benefit 2040,Annual Cost
Fulton,FN-264,1,0.4886,1,0.713026,0,1,69.345263,0.754363,0.018861,1,0.312481,0,0.193169,0.264676,35.720196,31.75,92.02,159.37,1895538.467
Fulton,FN-267,0.084667,0.488,0.2837,0.419092,0.830627,0.8,42.227327,0.53054,0.180034,1,0.329899,0,0.363341,0.810655,46.45682,1,0.63,0.6,961608.9934
Fulton,FN-269,0.189867,0.498,0.3964,0.41678,0.720872,0.9,46.090881,0.322092,0.005163,1,0.352342,0,0.220273,0.157109,25.387606,2.37,9.07,12.12,1475416.874
Fulton,FN-270,0.2656,0.4884,0.4968,0.534057,0.69235,0.9,49.871827,0.325293,0.002187,1,0.216798,0,0.210568,0.207669,24.965695,2.6,11.41,20.36,1784500.681
Fulton,FN-278,0.119467,0.4736,0.2828,0.470492,0.832778,1,45.448593,0.349039,0.050225,1,0.214291,0,0.318772,0.439769,31.86018,4.79,10.63,4.2,425344.4248
Fulton,FN-AR-185,0.109667,0.4712,0.2804,0.423581,0.787024,1,43.915172,0.497724,0.012626,1,0.575078,1,0.647447,0.5151,57.671124,1.98,2.55,3.21,1335733.12
Fulton,FS-003,0.145467,0.4764,0.2603,0.741461,0.834017,0.9,47.801869,0.242051,0.059615,1,0.157278,1,0.162477,0.904649,52.025763,6.06,12.48,7.08,567248.1203
Fulton,FS-225,0.105333,0.4884,0.2882,0.682772,0.864415,0.6,44.045953,0.227851,0.084952,1,0.102066,0,0.107167,0.858839,35.10041,0.54,1.03,2.74,2650964.536
Fulton,Pleasant Hill Rd,1,0.4786,1,0.751273,0.393934,1,75.386734,0.39815,0.02586,1,0.284919,0,0.237346,0.422124,32.016034,7.28,20.61,135.89,6592997.065
Fulton,St Rt 166,0.1788,0,0.2109,0.713506,0.874384,0.8,35.72383,0.235283,0.075663,1,0.130964,1,0.133405,0.885646,51.197223,1.1,3.27,10.53,3218212.656
